"id"	"name"	"country"	"state"	"city"	"address"	"longitude"	"latitude"	"source"	"type"	"long.qry"	"lat.qry"	"address.qry"
"5231"	NA	"Hampshire County Council Museums Service"	"United Kingdom"	"England"	"Winchester, Hampshire SO23 8RD"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5232"	NA	"College of the Atlantic"	"USA"	"Maine"	"Bar Harbor"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-84.3975408	33.7906259	"The Atlantic, 270 17th St NW, Atlanta, GA 30363, USA"
"5233"	NA	"Centre d Oceanologie de Marseille - University of Aix-Marseille II"	"France"	""	"13288 Marseille cedex 9"	"Campus of Luminy  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5234"	NA	"Taiwan Forestry Research Institute"	"Taiwan"	""	"Heng-Chun, Ping-Tung County"	"203 Kung-Yuien Road.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5235"	NA	"Tolson Museum"	"United Kingdom"	"England"	"Huddersfield, West Yorkshire HD5 8DJ"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5236"	NA	"Universidade Federal dos Vales do Jequitinhonha e Mucuri"	""	""	"Alto da Jacuba, Diamantina"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-39.5499731	-18.0833977	"Mucuri, BA, Brazil"
"5237"	NA	"University of Massachusetts Dartmouth"	"USA"	"Massachusetts"	"North Dartmouth"	"285 Old Westport Road.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-71.1273497	41.6803847	"UMass Dartmouth Center for Innovation & Entrepreneurship, 151 Martine St, Fall River, MA 02723, USA"
"5238"	NA	"Huddersfield Technical College"	"United Kingdom"	"England"	"Huddersfield, West Yorkshire"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-1.785035	53.645792	"Huddersfield, UK"
"5239"	NA	"Henan Agricultural University"	"China"	""	"Zhengzhou"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	113.6602174	34.7838683	"He Nan Nong Ye Da Xue, Jinshui Qu, Zhengzhou Shi, Henan Sheng, China, 450000"
"5240"	NA	"Hebden Bridge Literary and Scientific Society"	"United Kingdom"	"England"	"Hebden Bridge, West Yorkshire"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-2.013021	53.743304	"Hebden Bridge HX7, UK"
"5241"	NA	"Henan Academy of Sciences"	"China"	"Henan"	"Zhengzhou"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	113.6314839	34.7366304	"He Nan Sheng Ke Xue Yuan Di Li Yan Jiu Suo, BiShaGang ShangQuan, Erqi Qu, Zhengzhou Shi, Henan Sheng, China, 450052"
"5242"	NA	"Henan College of Traditional Chinese Medicine"	"China"	"Henan"	"Zhengzhou"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	113.7368326	34.7167067	"He Nan Guang Ming Zhong Yi Yao Yan Jiu Suo, Guancheng Huizuqu, Zhengzhou Shi, Henan Sheng, China"
"5243"	NA	"l Ecole de Faune de Garoua"	"Cameroon"	""	"Garoua"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	13.393389	9.3226016	"Garoua, Cameroon"
"5244"	NA	"Escuela Nacional de Ciencias Forestales"	"Honduras"	"Comayagua"	"Siguatepeque"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5245"	NA	"University of Heidelberg"	"Germany"	""	"D-69120 Heidelberg"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	8.6724335	49.3987524	"Heidelberg, Germany"
"5246"	NA	"University of Helsinki"	"Finland"	""	""	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	24.938379	60.1698557	"Helsinki, Finland"
"5247"	NA	"Universidad de Ciencias y Artes de Chiapas"	"Mexico"	"Chiapas"	"29039 Tuxtla Gutiérrez"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-93.1292353	16.7569318	"Chiapas, Mexico"
"5248"	NA	"Henderson State University"	"USA"	"Arkansas"	"Arkadelphia"	"Reynolds Science Center 210  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-77.8613931	40.796972	"Henderson, State College, PA 16801, USA"
"5249"	NA	"Henan Normal University"	"China"	"Henan"	"Xinxiang"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	112.9467923	28.1851154	"Hu Nan Shi Fan Da Xue, Yuelu Qu, Changsha Shi, Hunan Sheng, China"
"5250"	NA	"Jardim Botanico de Brasilia"	"Brazil"	"Distrito Federal"	"71680-120 Brasília"	"Setor de Mansões Dom Bosco (SMDB).  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-43.2227728	-22.9641719	"Jardim Botânico, Rio de Janeiro - State of Rio de Janeiro, Brazil"
"5251"	NA	"Hermanus Botanical Society"	"South Africa"	"Western Cape Province"	"Hermanus 7200"	"Fernkloof Nature Reserve, Fir Avenue.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	18.9268996	-34.3508271	"Harold Porter National Botanical Garden, Broadwith Rd, Betty's Bay, 7141, South Africa"
"5252"	NA	"Universidade do Estado de Mato Grosso"	"Brazil"	"Mato Grosso"	"Alta Floresta"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-61.4554782	-11.417257	"R. da Universidade, Cacoal - RO, Brazil"
"5253"	NA	"Fundacao Universidade Estadual do Ceara"	"Brazil"	"Ceará"	"Serrinha"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-39.3206241	-5.4983977	"State of Ceará, Brazil"
"5254"	NA	"Alexander Herzen Pedagogical University"	"Russia"	""	"Saint Petersburg 191186"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5255"	NA	"Universidad del Zulia"	"Venezuela"	"Zulia"	"Maracaibo"	"Avenida Cecilio Acosta.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-71.9362867	8.9868722	"Avenida Universidad, San Carlos del Zulia, Zulia, Venezuela"
"5256"	NA	"Universidade Federal do Para"	"Brazil"	"Pará"	"66000 Belém"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-67.8370554	-9.978114	"R. Pará - Nova Esperança, Rio Branco - AC, Brazil"
"5257"	NA	"Hainan Forestry Bureau"	"China"	"Hainan"	"Haikou"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	110.3421452	20.0419771	"Hai Nan Sheng Jian Feng Ling Lin Ye Ju Hai Kou Ban Shi Chu, Longhua Qu, Haikou Shi, Hainan Sheng, China, 570000"
"5258"	NA	"Forestry Botanical Garden of Heilongjiang"	"China"	"Heilongjiang"	"Harbin"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5259"	NA	"Hereford Museum"	"United Kingdom"	"England"	"Hereford, Herefordshire HR4 9AU"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-2.715974	52.056398	"Hereford, UK"
"5260"	NA	"Sapienza University of Rome - Scuola di Specializzazione in Beni Naturali e Territoriali"	"Italy"	""	"Rome"	"Via Gianturco 2  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5261"	NA	"Finnish Forest Research Institute"	"Finland"	""	"SF-01301 Vantaa"	"Jokiniemenkuja 1.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5262"	NA	"Centro de Ensino, Faculdade Sao Lucas Ltda"	"Brazil"	"Rondônia"	"78916-450 Porto Velho"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5263"	NA	"Universidad Austral de Chile"	"Chile"	""	"Valdivia"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-72.8963874	-41.4903025	"Universidad Austral De Chile, Puerto Montt, X Región, Chile"
"5264"	NA	"Herbarium Filicium"	""	""	""	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5265"	NA	"Bankfield Museum and Art Gallery"	"United Kingdom"	"England"	"Halifax, West Yorkshire"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5266"	NA	"Guizhou Academy of Sciences"	"China"	"Guizhou"	"Guiyang 550009"	"Building of Science and Technology, Xiao He.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	106.7200777	26.5736789	"Gui Zhou Sheng She Hui Ke Xue Yuan, Nanming Qu, Guiyang Shi, Guizhou Sheng, China, 550007"
"5267"	NA	"Gulf Coast Research Laboratory"	"USA"	"Mississippi"	"Ocean Springs"	"703 East Beach Drive.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5268"	NA	"Universitat de Girona"	"Spain"	""	"17071 Girona"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	2.8288989	41.9620056	"Carrer Universitat de Girona, 17003 Girona, Spain"
"5269"	NA	"Institut Menorqui d Estudis (IME)"	"Spain"	""	"07702, Mahón (Minorca)"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5270"	NA	"Universidad Autonoma del Estado de Hidalgo"	"Mexico"	"Hidalgo"	"42001Pachuca"	"Carretera Pachuca-Tulancingo km 4.5, Col. Carboneras, 42184 Mineral de la Reforma  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-98.7102669	20.0938881	"Universidad Autonoma del Estado de Hidalgo, Pachuca, Hgo., Mexico"
"5271"	NA	"Public Museum and Art Gallery, St John s Place"	"United Kingdom"	"England"	"Hastings, Sussex"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5272"	NA	"Huanggang Teachers College"	"China"	"Hubei"	"Huangzhou"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	114.8722	30.453667	"Huanggang, Hubei, China"
"5273"	NA	"Instituto de Investigaciones de la Amazonia Peruana"	"Peru"	""	"Iquitos"	"Centro de Investigaciones Jenaro Herrera (CIJH), km 2.5 carretera Jenaro Herrera - Angamos  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5274"	NA	"Hangzhou Botanical Garden"	"China"	"Zhejiang"	"Hangzhou 310013"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	120.122016	30.2535148	"Hangzhou Botanical Park, Xihu Qu, Hangzhou Shi, Zhejiang Sheng, China, 310000"
"5275"	NA	"University of Helsinki"	"Finland"	""	"SF-00710 Helsinki"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	24.938379	60.1698557	"Helsinki, Finland"
"5276"	NA	"Hartwick College"	"USA"	"New York"	"Oneonta"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-76.9400896	38.9795705	"Hartwick Building, 4321 Hartwick Rd, College Park, MD 20740, USA"
"5277"	NA	"Collyer s School"	"United Kingdom"	"England"	"Horsham, West Sussex"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5278"	NA	"Hallym University"	"South Korea"	"Kangwon-do"	"Chuncheon"	"1 Okcheon-dong  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5279"	NA	"Universidad Nacional de Huanuco Hermilio Valdizan"	"Peru"	""	"Huánuco"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-75.846832	-9.113689	"Hermilio Valdizán, Peru"
"5280"	NA	"Hirosaki University"	"Japan"	"Aomori"	"Hirosaki"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5281"	NA	"Wuhan Institute of Botany"	"China"	"Hubei"	"Wuhan 430074"	"Moshan, Wuchang.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	114.421721	30.545878	"Chinese Academy of Sciences Wuhan Botany Institute Herbal Greenhouse, Hongshan Qu, Wuhan Shi, Hubei Sheng, China"
"5282"	NA	"French Institute"	"India"	"Pondicherry Union Territory"	"Pondicherry 605 001"	"10 Saint Louis Street.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	77.3301499	28.6325493	"VXL - French Arcade, Siddharth Niketan, Sector 14, Vaishali, Ghaziabad, Uttar Pradesh 201010, India"
"5283"	NA	"Sir Harold Hillier Gardens"	"United Kingdom"	"England"	"Amfield, Romsey, Hampshire SO51 0QA"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-1.4654024	51.0128143	"Sir Harold Hillier Gardens, Jermyns Ln, Ampfield, Romsey SO51 0QA, UK"
"5284"	NA	"Inner Mongolia University"	"China"	"Inner Mongolia"	"Hohhot"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	111.6871728	40.810089	"Nei Meng Gu Da Xue, Saihan Qu, Huhehaote Shi, Neimenggu Zizhiqu, China, 010070"
"5285"	NA	"Hitchin Priory"	"United Kingdom"	"England"	"Hitchin, Hertfordshire"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-0.2821744	51.946349	"Priory Lodge, Wratten Rd E, Hitchin SG5 2AS, UK"
"5286"	NA	"Universidad de Magallanes"	"Chile"	""	"Punta Arenas"	"Avenida Bulnes, Km 4 Norte.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-70.6105534	-33.4904009	"Magallanes, Macul, Región Metropolitana, Chile"
"5287"	NA	"Instituto Superior Pedagogico Jose Marti"	"Cuba"	""	"Camagüey 6"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-76.9614255	20.2424556	"Jose Martí, Cuba"
"5288"	NA	"Hiroshima University"	"Japan"	"Hiroshima"	"Higashi-Hiroshima-shi"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	132.4552927	34.3852029	"Hiroshima, Hiroshima Prefecture, Japan"
"5289"	NA	"Okayama University of Science"	"Japan"	"Okayama"	""	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5290"	NA	"Xishuangbanna Tropical Botanical Garden, Academia Sinica"	"China"	"Yunnan"	"Xishuangbanna"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	100.79715	22.008811	"Xishuangbanna, Yunnan, China"
"5291"	NA	"Hampshire and Isle of Wight Naturalists Trust Ltd"	"United Kingdom"	"England"	"Romsey, Hampshire"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5292"	NA	"Escuela Nacional de Ciencias Forestales"	"Honduras"	"Atlántida"	"Tela"	"6 km south of Tela.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5293"	NA	"Fundacio Jardi Botanic de Soller"	"Spain"	"Balearic Islands"	"E-07100 Sóller"	"Ctra. Palma-Port de Sóller, Km 30, 5.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	2.7157866	39.7670693	"07100 Sóller, Balearic Islands, Spain"
"5294"	NA	"Agriculture, Fisheries, and Conservation Department"	"China"	"Hong Kong"	"Kowloon"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5295"	NA	"Hong Kong Baptist University"	"China"	""	"Hong Kong"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	114.1829159	22.3354512	"Baptist University Rd, Kowloon Tsai, Hong Kong"
"5296"	NA	"Naturwissenschaftliche Sammlungen des Kantons Glarus"	"Switzerland"	""	"CH-8752 Näfels"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	9.0672085	47.0404265	"Canton of Glarus, Switzerland"
"5297"	NA	"Research Center of Agricultural and Natural Resources Kurdistan Province"	"Iran"	"Kurdistan"	"Sanandaj"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	47.1362125	35.9553579	"Kurdistan Province, Iran"
"5298"	NA	"Houghton Lake Wildlife Research Station"	"USA"	"Michigan"	"Houghton Lake Heights"	"180 South Old U.S. Highway 27.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-84.7647496	44.314739	"Houghton Lake, MI, USA"
"5299"	NA	"Harold L Lyon Arboretum"	"USA"	"Hawaii"	"Honolulu"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-157.801539	21.332971	"Lyon Arboretum, 3860 Manoa Rd, Honolulu, HI 96822, USA"
"5300"	NA	"Heilongjiang College of Traditional Chinese Medicine"	"China"	"Heilongjiang"	"Harbin"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	126.6735582	45.7789045	"Zhuang Yi Tang Zhong Yi Yao Yan Jiu Suo, Nangang Qu, Haerbin Shi, Heilongjiang Sheng, China"
"5301"	NA	"Las Cruces Biological Station, Organization for Tropical Studies"	"Costa Rica"	"Coto Brus"	"San Vito"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-106.7636538	32.3199396	"Las Cruces, NM, USA"
"5302"	NA	"Queen s Gardens, College of Higher Education"	"United Kingdom"	"England"	"Kingston upon Hull, Humberside"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5303"	NA	"Town Docks Museum"	"United Kingdom"	"England"	"Kingston upon Hull, Humberside"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-1.1501754	60.1578654	"The Shetland Museum & Archive, Hays Dock, Lerwick, Shetland ZE1 0WP, UK"
"5304"	NA	"Heilongjiang Provincial Museum"	"China"	"Heilongjiang"	"Harbin"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5305"	NA	"Vlastivedne Muzeum v Hlohovci"	"Slovakia"	""	"920 01 Hlohovec"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	17.8033288	48.4251583	"Hlohovec, Slovakia"
"5306"	NA	"Hillsdale College"	"USA"	"Michigan"	"Hillsdale"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-77.8592051	34.2383716	"Hillsdale Dr, Wilmington, NC 28403, USA"
"5307"	NA	"University of Hull"	"United Kingdom"	"England"	"Cottingham, Kingston upon Hull, Humberside"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5308"	NA	"Universita degli Studi della Basilicata"	"Italy"	""	"I-85100 Potenza"	"Campus C/da Macchia Romana; Lotto 3B, IV livello.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	16.5997648	40.6613358	"Università degli Studi della Basilicta, Via del Castello, 75100 Matera MT, Italy"
"5309"	NA	"University of Hull"	"United Kingdom"	"England"	"Kingston upon Hull, Humberside"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5310"	NA	"Ovenden Naturalists Society"	"United Kingdom"	"England"	"Halifax, West Yorkshire"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5311"	NA	"Pratt Museum / Homer Society of Natural History"	""	""	""	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5312"	NA	"Chinese Academy of Sciences"	"China"	"Beijing"	"Beijing 100101"	"Datun Road, Chaoyang District  "	NA	NA	"grbioorg"	"biodiversityinstitution"	116.3357368	39.910886	"Zhong Guo Ke Xue Yuan, Xicheng Qu, Beijing Shi, China"
"5313"	NA	"Jardin Botanico de Las Tunas"	"Cuba"	""	"Las Tunas"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-76.9182097	21.0605162	"Las Tunas, Cuba"
"5314"	NA	"Haslemere Educational Museum"	"United Kingdom"	"England"	"Haslemere, Surrey"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-0.713373	51.090856	"Haslemere GU27, UK"
"5315"	NA	"Jardi Botanic Marimurtra"	"Spain"	""	"Blanes"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	2.8018515	41.6767268	"Jardí Botànic Marimurtra, Passeig de Carles Faust, 9, 17300 Blanes, Girona, Spain"
"5316"	NA	"District Museum"	"United Kingdom"	"Scotland"	"Hamilton"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	0.0074171	50.8728803	"Lewes Castle, High St, Lewes BN7, UK"
"5317"	NA	"Horsham Museum"	"United Kingdom"	"England"	"Horsham, West Sussex"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-0.3312177	50.8891612	"Museum Cottages, Charlton St, Steyning BN44 3LE, UK"
"5318"	NA	"Macedonian Museum of Natural History"	"Macedonia"	""	"1000 Skopje"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5319"	NA	"Mordovian State Nature Reserve"	""	""	""	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5320"	NA	"Hornonitrianske muzeum"	"Slovakia"	""	"971 01 Prievidza"	"A. Hlinku 44.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5321"	NA	"Embrapa Gado de Corte"	"Brazil"	"Mato Grosso do Sul"	"79002-970 Campo Grande"	"Embrapa Gado de Corte (CNPGC), Rodovia BR 262, Km 4.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5322"	NA	"National Center for Natural Sciences and Technology"	"Viet Nam"	""	"Cau Giay, Hanoi"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5323"	NA	"Institut de l Environnement et de Recherche Agricola (INERA)"	"Burkina Faso"	""	"7047 Ouagadougou 03"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5324"	NA	"Universite Gamal Abdel Nasser de Conakry (UGANC)"	"Guinea"	""	"Conakry"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5325"	NA	"Dartmouth College"	"USA"	"New Hampshire"	"Hanover"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-147.8581336	64.8438576	"Dartmouth Dr, Fairbanks, AK 99709, USA"
"5326"	NA	"Hannam University"	"South Korea"	""	"Daejeon 306-791"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5327"	NA	"Hanoi College of Pharmacy"	"Viet Nam"	""	"Hanoi"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	105.8341598	21.0277644	"Hanoi, Hoàn Ki<U+1EBF>m, Hanoi, Vietnam"
"5328"	NA	"Conseil National des Sciences"	""	"Laos"	"Vientiane"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5329"	NA	"Ecole Normale Superieure de Nouakchott"	"Mauritania"	""	"Nouakchott"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-15.9582372	18.0735299	"Nouakchott, Mauritania"
"5330"	NA	"Universidad Centroamericana"	"Nicaragua"	""	"Managua"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-86.2570014	12.1087348	"Universidad Americana, 17 Av Sureste, Managua, Nicaragua"
"5331"	NA	"Horniman Museum of Natural History"	"United Kingdom"	"England"	"London"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5332"	NA	"Hunan Normal University"	"China"	"Hunan"	"Changsha 410081"	"Lushan Street, Yuelu District.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	112.9467923	28.1851154	"Hu Nan Shi Fan Da Xue, Yuelu Qu, Changsha Shi, Hunan Sheng, China"
"5333"	NA	"Seed and Plant Improvement Institute"	"Iran"	""	"Karaj"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5334"	NA	"Heilongjiang Academy of Sciences"	"China"	"Heilongjiang"	"Harbin"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	126.6160215	45.6997124	"Hei Long Jiang Sheng Yi Xue Ke Xue Yuan, Nangang Qu, Haerbin Shi, Heilongjiang Sheng, China, 150086"
"5335"	NA	"Huntington Botanical Gardens"	"USA"	"California"	"San Marino"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-118.1145242	34.1290452	"The Huntington Library, Art Collections, and Botanical Gardens, 1151 Oxford Rd, San Marino, CA 91108, USA"
"5336"	NA	"Vlastivedne muzeum"	"Slovakia"	""	"094 31 Hanu<U+FFFD>ovce nad Topl'ou"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5337"	NA	"Vietnam National University"	"Viet Nam"	""	"Hanoi"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5338"	NA	"Northeastern University"	"USA"	"Massachusetts"	"Boston"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-71.0894884	42.340082	"Northeastern, Boston, MA 02115, USA"
"5339"	NA	"Northwest Plateau Institute of Biology, Chinese Academy of Sciences"	"China"	"Qinghai"	"Xining 810001"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	101.7527192	36.6290484	"Zhong Guo Ke Xue Yuan Xi Bei Gao Yuan Sheng Wu Yan Jiu Suo ( Xin Ning Lu Xi She Qu Wei Sheng Fu Wu Zhan Dong Nan ), Chengxi Qu, Xining Shi, Qinghai Sheng, China, 810001"
"5340"	NA	"Nebraska Wesleyan University"	"USA"	"Nebraska"	"Lincoln"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-99.9018131	41.4925374	"Nebraska, USA"
"5341"	NA	"Tasmanian Museum and Art Gallery"	"Australia"	"Tasmania"	"Hobart"	"University of Tasmania, College Road, Sandy Bay.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5342"	NA	"Universitat Hohenheim (210)"	"Germany"	""	"D-70593 Stuttgart"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5343"	NA	"Okresni muzeum Pribram Brezove Hory"	"Czech Republic"	""	"261 02 Príbram"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	13.9861565	49.681703	"Brezové Hory, 261 01 Príbram, Czech Republic"
"5344"	NA	"Sichuan Grassland Research Institute"	"China"	"Sichuan"	"Hongyuan"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5345"	NA	"University of Houston"	"USA"	"Texas"	"Houston"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-80.7201564	35.309292	"University House, 9825 University City Blvd, Charlotte, NC 28213, USA"
"5346"	NA	"Estacion biologica del Jardin Botanico de Missouri"	"Peru"	"Pasco"	"Oxapampa"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5347"	NA	"Universidade Regional Integrada do Alto Uruguai e das Missoes"	"Brazil"	"Rio Grande do Sul"	"Erechim"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5348"	NA	"Howard Payne University"	"USA"	"Texas"	"Brownwood"	"1000 Center Street, Winebrenner Science Hall.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5349"	NA	"Hampstead Scientific Society"	"United Kingdom"	"England"	"London"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-77.7105482	34.3675936	"Hampstead, NC, USA"
"5350"	NA	"Hampstead Public Library"	"United Kingdom"	"England"	"London"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-0.2093399	51.5167008	"North Kensington Public Library, 108 Ladbroke Grove, London W11 1PZ, UK"
"5351"	NA	"Monroe County Department of Parks"	"USA"	"New York"	"Rochester"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-77.5678338	43.2335975	"Parks Department, 1200 Kings Hwy N, Rochester, NY 14617, USA"
"5352"	NA	"Instituto Plantarum de Estudos da Flora Ltda"	"Brazil"	"São Paulo"	"CEP 13460-000 Nova Odessa"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5353"	NA	"Houston Museum of Natural Science"	"USA"	"Texas"	"Houston"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"5354"	NA	"Pumat National Park"	"Viet Nam"	"Nghe An Province"	"Con Cuong District"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	104.84911	19.067639	"Pu Mat National Park, Ti<U+1EBF>n Thành, Chi Khê, Con Cuong District, Ngh<U+1EC7> An, Vietnam"
